,ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 4 default,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 5 default,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Attribute 6 default,Attribute 7 name,Attribute 7 value(s),Attribute 7 visible,Attribute 7 global,Attribute 8 name,Attribute 8 value(s),Attribute 8 visible,Attribute 8 global,Attribute 8 default,Attribute 9 name,Attribute 9 value(s),Attribute 9 visible,Attribute 9 global,Attribute 10 name,Attribute 10 value(s),Attribute 10 visible,Attribute 10 global,Meta: product_short_name,Meta: _product_short_name,Meta: product_main_keyword,Meta: _product_main_keyword,Meta: product_tastes_like,Meta: _product_tastes_like,Meta: upc,Meta: _upc,Meta: product_acronym,Meta: _product_acronym,Attribute 7 default,Attribute 10 default,Meta: _yoast_wpseo_content_score,Meta: _yoast_wpseo_estimated-reading-time-minutes,Meta: _yoast_wpseo_wordproof_timestamp,Meta: _yoast_wpseo_primary_product_cat
0,17,variable,GFD12YOWBKTM,"Glenfiddich 12 Year Old 	Single Malt Scotch Whisky 750 ml, 1 L",1,0,visible,"Glenfiddich 12 Year Old single malt Scotch whisky offers everyday luxury with fresh, fruity notes evolving into butterscotch, cream, and subtle oak flavors. Enjoy neat, on the rocks, with water, or soda. Family-owned for over 130 years, it's the world's most awarded single malt.","Glenfiddich 12 Year Old single malt Scotch whisky is the ideal spirit for lovers of everyday luxury, this single malt delivers distinctively fresh and fruity notes with a hint of pear and develops into butterscotch, cream, malt and subtle oak flavors. Best enjoyed neat, on the rocks, with a splash of water, or with club soda to expand the flavor. For over 130 years Glenfiddich has been one of the few single malt distilleries to remain entirely family owned and our whisky has become the world's most awarded single malt Scotch whisky, a true reflection of the passion, integrity and innovative spirit championed by a traditional fermentation process that has been passed down through the generations. Our original twelve is an iconic expression, aged for 12 years in the finest American bourbon and Spanish sherry oak casks. Our original 12 Year Old is the world’s best-selling single malt Scotch whisky. Glenfiddich was founded by William Grant to fulfil a lifelong ambition of creating the 'best dram in the valley' and named 'Valley of the Deer' in Gaelic.",,,taxable,,1,20,,0,0,,,,,1,Cheers! Your thirst-quenching delights are en route to you soon!,,,"Whiskey & Scotch > Single Malt Scotch Whisky, Whiskey & Scotch","12 year old, glen, glenfiddich, scotch, Single Malt Scotch, whisky",,https://shop.drinksnepal.com/wp-content/uploads/2024/05/glenfiddich-12-year-old-single-malt-scotch-whisky-1-l.webp,,,,,,,,,0,Volume,"1 L, 750 ml",1.0,1,750 ml,Country,Scotland,1.0,0.0,Scotland,Age,12 Year Old Whisky,1.0,0.0,12 Year Old Whisky,ABV,40%,1.0,0.0,40%,Source,Imported,1.0,0.0,Imported,Closure,Screw Cap,1.0,0.0,Screw Cap,Packaging,Glass,1.0,0.0,Colour,Golden,1.0,0.0,Golden,Flavour,"Fruit, Malt Biscuit",1.0,0.0,Grape Varieties,,0.0,0.0,Glenfiddich 12 Year Old,field_663f88db36702,'	Single Malt Scotch Whisky,field_663f893236703,Fruity &amp; Malty Biscuit,field_663f89a536704,,field_6641ab1530a93,,,,,,,,
1,18,variable,GFD15YOWBKTM,"Glenfiddich 15 Year Old 	Single Malt Scotch Whisky 750 ml, 1 L",1,0,visible,"The Glenfiddich 15 Year Old is a uniquely crafted single malt, marrying European, American, and New American oak flavors in Solera vats and Portuguese oak tuns. Bursting with warm spice, sherry oak, marzipan, cinnamon, and ginger, it's full-bodied and satisfyingly rich.\n\n","This 15 Year Old expression is a truly special single malt that exemplifies the family's tradition of innovation. Aged in European, American, and New American oak to carefully release the virgin cask flavours, the whisky is then mellowed in unique Solera vats before being married in Portuguese oak tuns.\n\nBursting with flavour, the unique maturation process gives this whisky a warm spicy flavour. Silky smooth with multiple layers of sherry oak, marzipan, cinnamon and ginger, it is full-bodied and satisfyingly rich.",,,taxable,,1,20,,0,0,,,,,1,Cheers! Your thirst-quenching delights are en route to you soon!,,,"Whiskey & Scotch > Single Malt Scotch Whisky, Whiskey & Scotch","15 year old, glen, glenfiddich, scotch, Single Malt Scotch, whisky",,https://shop.drinksnepal.com/wp-content/uploads/2024/05/glenfiddich-15-year-old-single-malt-scotch-whisky-1-l.webp,,,,,,,,,0,Volume,"1 L, 750 ml",1.0,1,750 ml,Country,Scotland,1.0,0.0,Scotland,Age,15 Year Old Whisky,1.0,0.0,15 Year Old Whisky,ABV,40%,1.0,0.0,40%,Source,Imported,1.0,0.0,Imported,Closure,Screw Cap,1.0,0.0,Screw Cap,Packaging,Glass,1.0,0.0,Colour,"Golden, a red hue",1.0,0.0,Golden,Flavour,"Sherry Oak, Marzipan, Cinnamon, Ginger",1.0,0.0,Grape Varieties,,0.0,0.0,Glenfiddich 15 Year Old,field_663f88db36702,'	Single Malt Scotch Whisky,field_663f893236703,"Silky smooth, revealing layers of sherry oak, marzipan, cinnamon and ginger. Full-bodied and bursting with flavour.",field_663f89a536704,,field_6641ab1530a93,,,,,,,,
2,19,simple,GFD18YOWBKTM,Glenfiddich 18 Year Old 	Single Malt Scotch Whisky 700 ml,1,0,visible,"This top-selling single malt, aged in ex-sherry casks and bourbon barrels, boasts complexity. Aromas of raisins, vanilla, and cinnamon lead to a creamy, full-bodied palate with sherry, dried fruits, and toffee. The finish is long, featuring toffee and ginger. Truly exceptional!","This expression of the world’s best-selling single malt has been matured in a mix of ex-sherry casks and former bourbon barrels, which gives it greater complexity than its  Year Oldunger siblings.\n\nThe nose offers raisins, sultanas, vanilla and a dusting of cinnamon over apple. Full-bodied and creamy in the mouth, with sherry, dried fruits and brittle toffee. The finish is lengthy, with toffee and ginger. This is a cracking dram!",,,taxable,,1,20,,0,0,,,,,1,Cheers! Your thirst-quenching delights are en route to you soon!,,18580.0,"Whiskey & Scotch > Single Malt Scotch Whisky, Whiskey & Scotch","18 year old, glen, glenfiddich, scotch, Single Malt Scotch, whisky",,https://shop.drinksnepal.com/wp-content/uploads/2024/05/glenfiddich-18-year-old-single-malt-scotch-whisky-700-ml.webp,,,,,,,,,0,Volume,700 ml,1.0,1,,Country,Scotland,1.0,0.0,,Age,18 Year Old Whisky,1.0,0.0,,ABV,40%,1.0,0.0,,Source,Imported,1.0,0.0,,Closure,Screw Cap,1.0,0.0,,Packaging,Glass,1.0,0.0,Colour,Dark gold,1.0,0.0,,Flavour,"Dry Fruit, Candy Peel, Dates, Oak",1.0,0.0,Grape Varieties,,0.0,0.0,Glenfiddich 18 Year Old,,'	Single Malt Scotch Whisky,,"Richly delivers luxurious dried fruit, candy peel and dates. Overlaid with elegant oak notes.",,,,,,,,,,,
3,20,simple,GFD21YOWBKTM,Glenfiddich 21 Year Old 	Single Malt Scotch Whisky 700 ml,1,0,visible,"Glenfiddich 21 Year Old, aged in premium Caribbean rum casks, stands out with its intense layers. Rested for four months in Gran Reserva rum barrels, it exudes a sweet vanilla aroma, complex citrus and spice flavors, and a long, dry, spicy finish. Truly exceptional!","The award winning Glenfiddich 21 year old has been aged in casks that once contained premium Caribbean rum - and these are used to finish this 21 Year Old expression. The whisky spends four months resting in selected Gran Reserva rum barrels, producing a finish that releases layers of intensity and sets this 21 Year Old apart from the crowd.\n\nThis dark gold single malt has a sweet vanilla aroma. On the palate it offers a complex mix of citrus and spice flavours and even a touch of smoke. Its finish is very long, dry and spicy.",,,taxable,,1,20,,0,0,,,,,1,Cheers! Your thirst-quenching delights are en route to you soon!,,39280.0,"Whiskey & Scotch > Single Malt Scotch Whisky, Whiskey & Scotch","21 year old, glen, glenfiddich, scotch, Single Malt Scotch, whisky",,https://shop.drinksnepal.com/wp-content/uploads/2024/05/glenfiddich-21-year-old-single-malt-scotch-whisky-700-ml.webp,,,,,,,,,0,Volume,700 ml,1.0,1,,Country,Scotland,1.0,0.0,,Age,21 Year Old Whisky,1.0,0.0,,ABV,40%,1.0,0.0,,Source,Imported,1.0,0.0,,Closure,Screw Cap,1.0,0.0,,Packaging,Glass,1.0,0.0,Colour,,0.0,0.0,,Flavour,,0.0,0.0,Grape Varieties,,0.0,0.0,Glenfiddich 21 Year Old,,'	Single Malt Scotch Whisky,,,,,,,,,,,,,
4,21,variable,TGL12YOWBKTM,"The Glenlivet 12 Year Old 	Single Malt Scotch Whisky 750 ml, 1 L",1,0,visible,"Renowned for its smooth, fruity, and sophisticated character, The Glenlivet 12 Year Old single malt Scotch whisky is celebrated as a first-class malt by The Original Malt Whisky Almanac. Aged in traditional and American oak casks, it gains its distinctive smoothness and vanilla notes. A must-have for any occasion.","This classic whisky has been called a lot of things in its time: smooth, fruity, complex, sophisticated, entertaining, classic. The Original Malt Whisky Almanac says: “A first-class malt. One of the most popular malts in the world – deservedly so.” Representing The Glenlivet’s signature style, The Glenlivet 12 Year Old single malt scotch whisky is first matured in traditional oak, before spending time in American oak casks that impart notes of vanilla and gives the whisky its distinctive smoothness. The mineral-rich water that comes from Josie’s Well helps form the flavours during mashing and fermentation, whilst the specific height and width of the copper stills add a delicate yet complex character. Keep a bottle on hand for every occasion.",,,taxable,,1,20,,0,0,,,,,1,Cheers! Your thirst-quenching delights are en route to you soon!,,,"Whiskey & Scotch > Single Malt Scotch Whisky, Whiskey & Scotch","12 year old, glen, glenlivet, scotch, Single Malt Scotch, whisky",,https://shop.drinksnepal.com/wp-content/uploads/2024/05/the-glenlivet-12-year-old-single-malt-scotch-whisky-1-l.webp,,,,,,,,,0,Volume,"1 L, 750 ml",1.0,1,750 ml,Country,Scotland,1.0,0.0,Scotland,Age,12 Year Old Whisky,1.0,0.0,12 Year Old Whisky,ABV,40%,1.0,0.0,40%,Source,Imported,1.0,0.0,Imported,Closure,Screw Cap,1.0,0.0,Screw Cap,Packaging,Glass,1.0,0.0,Colour,"Bright, vibrant gold",1.0,0.0,Bright,Flavour,Pineapple,1.0,0.0,Grape Varieties,,0.0,0.0,The Glenlivet 12 Year Old,field_663f88db36702,'	Single Malt Scotch Whisky,field_663f893236703,Delicately balanced with strong pineapple notes,field_663f89a536704,,field_6641ab1530a93,,,,,,,,
5,22,variable,TGL15YOWBKTM,"The Glenlivet 15 Year Old 	Single Malt Scotch Whisky 700 ml, 1 L",1,0,visible,"The Glenlivet 15 Year Old single malt Scotch whisky boasts a rich and exotic character derived from selective maturation in French oak casks. Pioneers in this technique, we utilize Limousin oak from France's Dordogne region, traditionally used for cognacs. Carefully controlled maturation ensures a unique, pleasantly spicy result.","The Glenlivet 15 Year Old single malt scotch whisky gets its distinctive rich and exotic character from a process of selective maturation in which a proportion of the spirit is matured in French oak casks. The Glenlivet were one of the first to use French oak for making whisky, a technique that has since been imitated the world over. The Limousin oak we use is cut in France’s Dordogne region, where it’s often used to mature cognacs. Its low density allows the whisky to sink deep into the wood, and we carefully control how long the whisky matures in the casks so as not to overpower the desired result: a unique, pleasing spiciness.",,,taxable,,1,20,,0,0,,,,,1,Cheers! Your thirst-quenching delights are en route to you soon!,,,"Whiskey & Scotch > Single Malt Scotch Whisky, Whiskey & Scotch","15 year old, glen, glenlivet, scotch, Single Malt Scotch, whisky",,"https://shop.drinksnepal.com/wp-content/uploads/2024/05/the-glenlivet-15-year-old-single-malt-scotch-whisky-1-l.webp, https://shop.drinksnepal.com/wp-content/uploads/2024/05/glenlivet-15-year-old-french-oak-reserve.jpg, https://shop.drinksnepal.com/wp-content/uploads/2024/05/15-year-old-on-a-tray-with-cocktails.webp, https://shop.drinksnepal.com/wp-content/uploads/2024/05/15-years-aged-decades-of-flavour.webp, https://shop.drinksnepal.com/wp-content/uploads/2024/05/celebrate-the-good-things-celebrate-glenlivet.webp, https://shop.drinksnepal.com/wp-content/uploads/2024/05/great-to-keep-but-better-to-share.webp, https://shop.drinksnepal.com/wp-content/uploads/2024/05/selectively-finished-in-limousin-oak.jpg",,,,,,,,,0,Volume,"1 L, 700 ml",1.0,1,700 ml,Country,Scotland,1.0,0.0,Scotland,Age,15 Year Old Whisky,1.0,0.0,15 Year Old Whisky,ABV,40%,1.0,0.0,40%,Source,Imported,1.0,0.0,Imported,Closure,Screw Cap,1.0,0.0,Screw Cap,Packaging,Glass,1.0,0.0,Colour,"Deep, Intense gold",1.0,0.0,Intense gold,Flavour,,0.0,0.0,Grape Varieties,,0.0,0.0,The Glenlivet 15 Year Old,field_663f88db36702,'	Single Malt Scotch Whisky,field_663f893236703,"Deep, intense gold",field_663f89a536704,,field_6641ab1530a93,,,,,,,,
6,23,variable,TGL18YOWBKTM,"The Glenlivet 18 Year Old 	Single Malt Scotch Whisky 700 ml, 1 L",1,0,visible,"Crafted by Master Distiller Alan Winchester over 18 years, The Glenlivet 18 Year Old is a beautifully balanced single malt Scotch whisky, aged in a blend of American and ex-sherry oak casks. Unmatched in awards, it's perfect for special moments.","Over the course of 18 years, Master Distiller, Alan Winchester, takes this expression through a combination of cask types, including both first and second-fill American oak (for tropical fruitiness) and ex-sherry oak (for spicy complexity). The result of this deft navigation of the distilling arts is a gorgeous single malt scotch whisky that is complex, yet elegant and balanced. The Glenlivet 18 Year Old has won more awards than any other expression; every bottle is a true example of the quality and taste of The Glenlivet and deserves pride of place in  Year Oldur cabinet… perhaps to be held back for a fitting occasion? It is, after all, crafted to impress.",,,taxable,,1,20,,0,0,,,,,1,Cheers! Your thirst-quenching delights are en route to you soon!,,,"Whiskey & Scotch > Single Malt Scotch Whisky, Whiskey & Scotch","18 year old, glen, glenlivet, scotch, Single Malt Scotch, whisky",,https://shop.drinksnepal.com/wp-content/uploads/2024/05/the-glenlivet-18-year-old-single-malt-scotch-whisky-1-l.webp,,,,,,,,,0,Volume,"1 L, 700 ml",1.0,1,700 ml,Country,Scotland,1.0,0.0,Scotland,Age,18 Year Old Whisky,1.0,0.0,18 Year Old Whisky,ABV,40%,1.0,0.0,40%,Source,Imported,1.0,0.0,Imported,Closure,Screw Cap,1.0,0.0,Screw Cap,Packaging,Glass,1.0,0.0,Colour,"Old gold, apricot",1.0,0.0,Old gold,Flavour,"Citrus, Spice",1.0,0.0,Grape Varieties,,0.0,0.0,The Glenlivet 18 Year Old,,'	Single Malt Scotch Whisky,,"Ripe citrus, winter spice",,,,,,,,,,,
7,24,simple,TST12YOWBKTM,The Singleton 12 Year Old 	Single Malt Scotch Whisky 700 ml,1,0,visible,"12-year-old single malt Scotch matured in American and European oak yields notes of brown sugar, apples, and toffee. Perfect for social enjoyment.","12 year old single malt scotch whisky is matured in a high proportion of American oak casks with a small portion of European oak casks to balance the liquid. The result is an easy to enjoy single malt with notes of luscious brown sugar, soft cooked apples and creamy toffee, best served with laughter and good company.",,,taxable,,1,20,,0,0,,,,,1,Cheers! Your thirst-quenching delights are en route to you soon!,,7500.0,"Whiskey & Scotch > Single Malt Scotch Whisky, Whiskey & Scotch","12 year old, scotch, Single Malt Scotch, singleton, whisky",,https://shop.drinksnepal.com/wp-content/uploads/2024/05/the-singleton-12-year-old-single-malt-scotch-whisky-700-ml.webp,,,,,,,,,0,Volume,700 ml,1.0,1,,Country,Scotland,1.0,0.0,,Age,12 Year Old Whisky,1.0,0.0,,ABV,40%,1.0,0.0,,Source,Imported,1.0,0.0,,Closure,Screw Cap,1.0,0.0,,Packaging,Glass,1.0,0.0,Colour,,0.0,0.0,,Flavour,"Spicy, Sweet, Citrus, Raisins, Vanilla, Honey",1.0,0.0,Grape Varieties,,0.0,0.0,The Singleton 12 Year Old,,'	Single Malt Scotch Whisky,,"Fresh and easy to drink; spicy, then soft and pleasantly sweet. Fruity, with citrus, raisins, vanilla and a hint of honey",,,,,,,,,,,
8,25,simple,TST15YOWBKTM,The Singleton 15 Year Old 	Single Malt Scotch Whisky 700 ml,1,0,visible,"A 15-year-old single malt Scotch, aged in American and European oak, offers fruity decadence with coriander, pepper, honey, and toffee notes.","15 year old single malt scotch whisky is matured in a high proportion of American oak casks with a small portion of European oak casks to balance the liquid. The result is an easy to enjoy single malt with a fruity decadence and notes of zesty coriander, zingy pepper, honey and creamy toffee.",,,taxable,,1,20,,0,0,,,,,1,Cheers! Your thirst-quenching delights are en route to you soon!,,11000.0,"Whiskey & Scotch > Single Malt Scotch Whisky, Whiskey & Scotch","15 year old, scotch, Single Malt Scotch, singleton, whisky",,https://shop.drinksnepal.com/wp-content/uploads/2024/05/the-singleton-15-year-old-single-malt-scotch-whisky-700-ml.webp,,,,,,,,,0,Volume,700 ml,1.0,1,,Country,Scotland,1.0,0.0,,Age,15 Year Old Whisky,1.0,0.0,,ABV,40%,1.0,0.0,,Source,Imported,1.0,0.0,,Closure,Screw Cap,1.0,0.0,,Packaging,Glass,1.0,0.0,Colour,,0.0,0.0,,Flavour,"Butter, Fruit, Citrus, Vanilla",1.0,0.0,Grape Varieties,,0.0,0.0,The Singleton 15 Year Old,,'	Single Malt Scotch Whisky,,Soft and lightly sweet with buttery fruit cake mix followed by hints of citrus soft fruit and vanilla with a dry finish.,,,,,,,,,,,
9,26,simple,TST18YOWBKTM,The Singleton 18 Year Old 	Single Malt Scotch Whisky 700 ml,1,0,visible,"An 18-year-old single malt Scotch, aged predominantly in American oak with a touch of European oak, boasts smoothness with sweet, fruity notes.","18 year old single malt scotch whisky is matured in a high proportion of American oak casks with a small portion of European oak casks to balance the liquid. The result is smooth, sublime and full of character notes of sweet, stewed fruits, sumptuous berries, dark toffee and silky honey.",,,taxable,,1,20,,0,0,,,,,1,Cheers! Your thirst-quenching delights are en route to you soon!,,15000.0,"Whiskey & Scotch > Single Malt Scotch Whisky, Whiskey & Scotch","18 year old, scotch, Single Malt Scotch, singleton, whisky",,https://shop.drinksnepal.com/wp-content/uploads/2024/05/the-singleton-18-year-old-single-malt-scotch-whisky-700-ml.webp,,,,,,,,,0,Volume,700 ml,1.0,1,,Country,Scotland,1.0,0.0,,Age,18 Year Old Whisky,1.0,0.0,,ABV,40%,1.0,0.0,,Source,Imported,1.0,0.0,,Closure,Screw Cap,1.0,0.0,,Packaging,Glass,1.0,0.0,Colour,,0.0,0.0,,Flavour,,0.0,0.0,Grape Varieties,,0.0,0.0,The Singleton 18 Year Old,,'	Single Malt Scotch Whisky,,,,,,,,,,,,,
